Node Name,Op Type,Activation,Weights,Bias
/model.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.0/act/Mul,Mul,BFLOAT16,,
/model.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.1/act/Mul,Mul,BFLOAT16,,
/model.2/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.2/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.2/cv1/act/Mul,Mul,BFLOAT16,,
/model.2/Split_output_0_0,Slice,BFLOAT16,,
/model.2/Split_output_1_1,Slice,BFLOAT16,,
/model.2/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.2/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.2/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.2/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.2/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.2/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.2/m.0/Add,Add,BFLOAT16,,
/model.2/Concat,Concat,BFLOAT16,,
/model.2/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.2/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.2/cv2/act/Mul,Mul,BFLOAT16,,
/model.3/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.3/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.3/act/Mul,Mul,BFLOAT16,,
/model.4/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.4/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.4/cv1/act/Mul,Mul,BFLOAT16,,
/model.4/Split_output_0_0,Slice,BFLOAT16,,
/model.4/Split_output_1_1,Slice,BFLOAT16,,
/model.4/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.4/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.4/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.4/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.4/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.4/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.4/m.0/Add,Add,BFLOAT16,,
/model.4/m.1/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.4/m.1/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.4/m.1/cv1/act/Mul,Mul,BFLOAT16,,
/model.4/m.1/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.4/m.1/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.4/m.1/cv2/act/Mul,Mul,BFLOAT16,,
/model.4/m.1/Add,Add,BFLOAT16,,
/model.4/Concat,Concat,BFLOAT16,,
/model.4/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.4/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.4/cv2/act/Mul,Mul,BFLOAT16,,
/model.5/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.5/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.5/act/Mul,Mul,BFLOAT16,,
/model.6/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.6/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.6/cv1/act/Mul,Mul,BFLOAT16,,
/model.6/Split_output_0_0,Slice,BFLOAT16,,
/model.6/Split_output_1_1,Slice,BFLOAT16,,
/model.6/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.6/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.6/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.6/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.6/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.6/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.6/m.0/Add,Add,BFLOAT16,,
/model.6/m.1/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.6/m.1/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.6/m.1/cv1/act/Mul,Mul,BFLOAT16,,
/model.6/m.1/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.6/m.1/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.6/m.1/cv2/act/Mul,Mul,BFLOAT16,,
/model.6/m.1/Add,Add,BFLOAT16,,
/model.6/Concat,Concat,BFLOAT16,,
/model.6/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.6/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.6/cv2/act/Mul,Mul,BFLOAT16,,
/model.7/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.7/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.7/act/Mul,Mul,BFLOAT16,,
/model.8/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.8/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.8/cv1/act/Mul,Mul,BFLOAT16,,
/model.8/Split_output_0_0,Slice,BFLOAT16,,
/model.8/Split_output_1_1,Slice,BFLOAT16,,
/model.8/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.8/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.8/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.8/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.8/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.8/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.8/m.0/Add,Add,BFLOAT16,,
/model.8/Concat,Concat,BFLOAT16,,
/model.8/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.8/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.8/cv2/act/Mul,Mul,BFLOAT16,,
/model.9/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.9/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.9/cv1/act/Mul,Mul,BFLOAT16,,
/model.9/m/MaxPool,MaxPool,BFLOAT16,,
/model.9/m_1/MaxPool,MaxPool,BFLOAT16,,
/model.9/m_2/MaxPool,MaxPool,BFLOAT16,,
/model.9/Concat,Concat,BFLOAT16,,
/model.9/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
